,2019/05/16 14:41:10.191,0,7,0.0,2
30740000001D884000000011,2019/05/16 14:41:10.191,0,1,1924.0,2
30740000001D884000000011,2019/05/16 14:41:10.243,0,1,1999.0,2
30740000001D884000000011,2019/05/16 14:41:10.284,0,1,2101.7,2
30740000001D884000000011,2019/05/16 14:41:10.348,0,1,2496.9,2
30740000001D884000000011,2019/05/16 14:41:10.401,0,1,2410.8,2
30740000001D884000000011,2019/05/16 14:41:10.444,0,1,2234.4,2
30740000001D884000000011,2019/05/16 14:41:10.497,0,1,1947.4,2
30740000001D884000000011,2019/05/16 14:41:10.549,0,1,2064.1,2
30740000001D884000000011,2019/05/16 14:41:10.601,0,1,1974.8,2
30740000001D884000000013,2019/05/16 14:41:10.727,0,1,1933.7,2
30740000001D884000000013,2019/05/16 14:41:10.779,0,1,2196.2,2
30740000001D884000000013,2019/05/16 14:41:10.842,0,1,2595.8,2
30740000001D884000000013,2019/05/16 14:41:10.904,0,1,2908.3,2
30740000001D884000000007,2019/05/16 14:41:10.904,0,1,1715.5,2
30740000001D884000000013,2019/05/16 14:41:10.967,0,1,3102.4,2
30740000001D884000000013,2019/05/16 14:41:10.999,0,1,2893.3,2
30740000001D884000000013,2019/05/16 14:41:11.063,0,1,3161.8,2
30740000001D884000000013,2019/05/16 14:41:11.105,0,1,3106.7,2
30740000001D884000000013,2019/05/16 14:41:11.158,0,1,3116.2,2
30740000001D884000000013,2019/05/16 14:41:11.208,0,1,2961.6,2
30740000001D884000000013,2019/05/16 14:41:11.282,0,1,2791.3,2
30740000001D88400000000C,2019/05/16 14:41:11.282,0,1,1509.8,2
30740000001D884000000013,2019/05/16 14:41:11.367,0,1,2508.4,2
30740000001D88400000000C,2019/05/16 14:41:11.367,0,1,2088.1,2
30740000001D884000000003,2019/05/16 14:41:11.367,0,1,2079.2,2
30740000001D884000000014,2019/05/16 14:41:11.483,0,1,1313.5,2
30740000001D884000000013,2019/05/16 14:41:11.483,0,1,2185.3,2
30740000001D884000000012,2019/05/16 14:41:11.483,0,1,2024.2,2
30740000001D88400000000C,2019/05/16 14:41:11.483,0,1,2479.5,2
30740000001D884000000003,2019/05/16 14:41:11.483,0,1,2461.3,2
30740000001D884000000013,2019/05/16 14:41:11.632,0,1,2776.9,2
30740000001D884000000012,2019/05/16 14:41:11.632,0,1,2617.8,2
30740000001D884000000011,2019/05/16 14:41:11.632,0,1,2344.7,2
30740000001D884000000009,2019/05/16 14:41:11.632,0,1,1917.9,2
30740000001D88400000000C,2019/05/16 14:41:11.632,0,1,2193.4,2
30740000001D884000000007,2019/05/16 14:41:11.632,0,1,3819.6,2
30740000001D884000000003,2019/05/16 14:41:11.632,0,1,2554.3,2
30740000001D884000000003,2019/05/16 14:41:11.883,0,1,2579.0,2
30740000001D88400000000A,2019/05/16 14:41:11.883,0,1,1505.9,2
30740000001D884000000014,2019/05/16 14:41:11.883,0,1,1726.3,2
30740000001D884000000013,2019/05/16 14:41:11.883,0,1,3282.7,2
30740000001D884000000012,2019/05/16 14:41:11.883,0,1,2952.7,2
30740000001D884000000009,2019/05/16 14:41:11.883,0,1,1758.1,2
30740000001D884000000011,2019/05/16 14:41:11.883,0,1,2441.5,2
30740000001D884000000010,2019/05/16 14:41:11.883,1,1,1295.5,2
30740000001D884000000007,2019/05/16 14:41:11.884,0,1,4242.1,2
30740000001D884000000004,2019/05/16 14:41:11.884,0,1,1751.4,2
30740000001D884000000003,2019/05/16 14:41:12.033,0,1,2281.8,2
30740000001D88400000000C,2019/05/16 14:41:12.033,0,1,2045.0,2
30740000001D88400000000B,2019/05/16 14:41:12.033,0,1,1314.8,2
30740000001D884000000014,2019/05/16 14:41:12.033,0,1,1478.8,2
30740000001D884000000013,2019/05/16 14:41:12.033,0,1,4019.4,2
30740000001D884000000009,2019/05/16 14:41:12.033,0,1,1772.6,2
30740000001D884000000010,2019/05/16 14:41:12.034,0,1,2010.2,2
30740000001D884000000007,2019/05/16 14:41:12.034,0,1,4018.4,2
30740000001D884000000004,2019/05/16 14:41:12.034,0,1,1511.4,2
30740000001D884000000012,2019/05/16 14:41:12.054,0,1,2105.2,2
30740000001D884000000013,2019/05/16 14:41:12.160,0,1,3737.0,2
30740000001D884000000009,2019/05/16 14:41:12.160,0,1,2066.5,2
30740000001D884000000010,2019/05/16 14:41:12.160,0,1,2482.6,2
30740000001D88400000000C,2019/05/16 14:41:12.160,0,1,1951.6,2
30740000001D884000000007,2019/05/16 14:41:12.160,0,1,3275.8,2
30740000001D88400000000B,2019/05/16 14:41:12.160,0,1,1399.2,2
30740000001D884000000004,2019/05/16 14:41:12.160,0,1,2110.5,2
30740000001D884000000003,2019/05/16 14:41:12.160,0,1,2136.8,2
30740000001D884000000013,2019/05/16 14:41:12.278,0,1,3362.2,2
30740000001D884000000011,2019/05/16 14:41:12.278,1,1,2022.8,2
30740000001D884000000010,2019/05/16 14:41:12.278,0,1,1640.9,2
30740000001D884000000009,2019/05/16 14:41:12.278,0,1,2289.6,2
30740000001D88400000000C,2019/05/16 14:41:12.278,0,1,2370.9,2
30740000001D884000000007,2019/05/16 14:41:12.278,0,1,2343.5,2
30740000001D884000000004,2019/05/16 14:41:12.278,0,1,2144.2,2
30740000001D884000000003,2019/05/16 14:41:12.278,0,1,3105.4,2
30740000001D884000000013,2019/05/16 14:41:12.404,0,1,2010.2,2
30740000001D884000000011,2019/05/16 14:41:12.404,1,1,2235.7,2
30740000001D884000000009,2019/05/16 14:41:12.404,0,1,2002.0,2
30740000001D88400000000C,2019/05/16 14:41:12.404,1,1,1618.9,2
30740000001D884000000007,2019/05/16 14:41:12.404,1,1,2814.6,2
30740000001D884000000004,2019/05/16 14:41:12.404,0,1,1586.1,2
30740000001D884000000003,2019/05/16 14:41:12.404,0,1,2823.3,2
30740000001D884000000014,2019/05/16 14:41:12.532,1,1,1469.3,2
30740000001D884000000012,2019/05/16 14:41:12.532,0,1,1685.0,2
30740000001D884000000011,2019/05/16 14:41:12.532,1,1,1755.0,2
30740000001D884000000009,2019/05/16 14:41:12.532,0,1,1802.3,2
30740000001D88400000000C,2019/05/16 14:41:12.532,1,1,1709.5,2
30740000001D884000000007,2019/05/16 14:41:12.532,1,1,3139.6,2
30740000001D884000000013,2019/05/16 14:41:12.732,0,1,2092.6,2
30740000001D884000000012,2019/05/16 14:41:12.732,1,1,2410.8,2
30740000001D884000000010,2019/05/16 14:41:12.732,1,1,1410.1,2
30740000001D88400000000C,2019/05/16 14:41:12.732,0,1,2112.7,2
30740000001D884000000007,2019/05/16 14:41:12.732,0,1,2568.2,2
30740000001D884000000004,2019/05/16 14:41:12.732,1,1,1521.2,2
30740000001D884000000003,2019/05/16 14:41:12.733,0,1,2547.9,2
30740000001D884000000014,2019/05/16 14:41:12.870,0,1,1710.9,2
30740000001D884000000013,2019/05/16 14:41:12.870,0,1,3250.1,2
30740000001D884000000012,2019/05/16 14:41:12.870,0,1,2178.9,2
30740000001D884000000011,2019/05/16 14:41:12.870,0,1,4266.0,2
30740000001D884000000010,2019/05/16 14:41:12.870,1,1,1806.8,2
30740000001D88400000000C,2019/05/16 14:41:12.870,0,1,3465.2,2
30740000001D884000000007,2019/05/16 14:41:12.870,0,1,4457.4,2
30740000001D884000000003,2019/05/16 14:41:12.870,0,1,2661.7,2
30740000001D884000000003,2019/05/16 14:41:13.006,0,1,2394.7,2
30740000001D88400000000C,2019/05/16 14:41:13.006,0,1,3814.6,2
30740000001D884000000014,2019/05/16 14:41:13.006,0,1,2199.6,2
30740000001D884000000013,2019/05/16 14:41:13.006,0,1,4345.5,2
30740000001D884000000012,2019/05/16 14:41:13.006,0,1,2122.3,2
30740000001D884000000011,2019/05/16 14:41:13.006,0,1,4985.8,2
30740000001D884000000010,2019/05/16 14:41:13.006,0,1,1451.3,2
30740000001D884000000007,2019/05/16 14:41:13.007,0,1,6211.1,2
30740000001D884000000004,2019/05/16 14:41:13.007,0,1,1541.7,2
30740000001D884000000014,2019/05/16 14:41:13.145,0,1,2723.9,2
30740000001D884000000013,2019/05/16 14:41:13.145,0,1,6118.0,2
30740000001D884000000011,2019/05/16 14:41:13.145,0,1,4877.6,2
30740000001D884000000010,2019/05/16 14:41:13.145,0,1,2125.2,2
30740000001D88400000000C,2019/05/16 14:41:13.145,0,1,4052.4,2
30740000001D884000000007,2019/05/16 14:41:13.145,0,1,9762.1,2
30740000001D884000000004,2019/05/16 14:41:13.145,0,1,1939.2,2
30740000001D884000000014,2019/05/16 14:41:13.260,0,1,3815.4,2
30740000001D884000000013,2019/05/16 14:41:13.260,0,1,6834.2,2
30740000001D884000000012,2019/05/16 14:41:13.260,0,1,2738.6,2
30740000001D884000000011,2019/05/16 14:41:13.260,0,1,3636.0,2
30740000001D884000000010,2019/05/16 14:41:13.260,0,1,2202.6,2
30740000001D88400000000A,2019/05/16 14:41:13.260,0,1,2491.2,2
30740000001D884000000004,2019/05/16 14:41:13.260,0,1,1965.7,2
30740000001D884000000003,2019/05/16 14:41:13.261,0,1,2741.4,2
30740000001D884000000007,2019/05/16 14:41:13.261,0,1,8069.6,2
30740000001D88400000000C,2019/05/16 14:41:13.282,0,1,6409.2,2
30740000001D88400000000B,2019/05/16 14:41:13.282,0,1,1823.7,2
30740000001D884000000013,2019/05/16 14:41:13.400,0,1,5558.1,2
30740000001D884000000012,2019/05/16 14:41:13.400,0,1,4606.1,2
30740000001D884000000011,2019/05/16 14:41:13.400,0,1,3421.0,2
30740000001D884000000009,2019/05/16 14:41:13.400,0,1,3116.0,2
